token,coefficient
theatre,0.2907937758158554
chocolate,0.2907885864898126
graphic,0.2900246137301789
hawaii,0.2899362526361101
hot,0.28954296678677366
cafe,0.2894312254879744
dinner,0.288998692671999
customizable,0.28871184953993617
reading,0.2884344240566962
delicious,0.2874961552975972
states,0.2872307198266198
century,0.28668705811803835
sing,0.28642914682340537
cats,0.286326370729322
jerky,0.2854760582498459
disc,0.2847336081824487
lucky,0.28401032274256743
happen,0.28370999913890244
lost,0.2836758238398156
week,0.28316715229450423
citizen,0.2830915981180396
ancient,0.28304059464091086
tom,0.2829828988327729
plastic,0.28296097350577704
juice,0.28268218062936085
luna,0.2820575527315997
sequel,0.2819891167351702
let,0.2817672625752277
expedition,0.28076905622384707
handmade,0.2807657862775438
campaign,0.28075004261611664
morning,0.28048610820929193
state,0.2803870295421224
smoke,0.27992141903941564
glass,0.27985218762482256
snow,0.2796946424595293
dark,0.2788429661731215
os,0.2781973209065343
church,0.27811013214138125
dragon,0.2775554304023193
publication,0.2772801778260125
friendly,0.27698124809923585
hold,0.27678286472497454
piano,0.27661310025682845
piece,0.2763692925083941
tour,0.27583629217141287
portal,0.27476063149690916
webseries,0.274595861683139
price,0.2737946452994382
laser,0.27321827239957314
alarm,0.2730455538783786
rocks,0.2726029839125765
multi,0.27230495191289356
low,0.2721972489953268
sauce,0.2721414115300974
tactical,0.27089718148279107
beer,0.2705823927921224
creator,0.2703959516896939
listen,0.26979513314593256
pressing,0.26946069952854035
block,0.2688194426021052
island,0.26879012188810464
base,0.26857366046138026
daughter,0.26854048710528305
empower,0.26822308758130486
gray,0.26753422501249363
cnc,0.26720458672257885
brew,0.2667790476455327
irish,0.26651102425347445
seeds,0.2659190354700097
mac,0.26547856303602724
pixel,0.2616820838824555
strategy,0.26123483931559344
special,0.2602598755626831
heart,0.2601145901282183
heads,0.25964208873283484
exploration,0.25958826677480507
experimental,0.25861962477879585
dog,0.2581884079446829
traveler,0.25810109592517977
middle,0.257824614805639
led,0.2572546385413549
handbook,0.2572234404545074
pirates,0.2569812502737826
prints,0.2567058825464055
lady,0.2556446324265273
india,0.2550890645762034
supernatural,0.25263008364868805
cream,0.25126934902231346
bow,0.25124044281228347
mars,0.2504080749358538
adam,0.2503054287488901
wheels,0.2476339083495102
raise,0.24760920346474005
change,0.24681172208747018
protein,0.24514307006366318
gets,0.24506629729556376
universal,0.2450203188025399
tomorrow,0.2449209894082108
glory,0.24352893491712926
monster,0.24318939429788222
ray,0.24289668928979577
store,0.2396934685217252
exploring,0.2393922328961126
drink,0.23892738569021973
world,0.2387464973468617
projects,0.2387220723092528
williams,0.2383458836059527
leaf,0.2382366534013289
chase,0.23784131586175464
walking,0.23612051279750723
falling,0.23577673270295563
mix,0.23571750212801826
mother,0.23542668771672895
infinity,0.23531194333832353
sword,0.23456531119611462
matter,0.2342688308402719
films,0.23422406544423988
casual,0.23421891918112073
modern,0.23415108383796915
flat,0.2340981410832103
tribe,0.23340769580210904
grey,0.23305830896644736
matters,0.23216933063541895
street,0.2320425510969032
